PMID,doi,Title,Publication Date,Journal Title,Authors,Keywords,Abstract,Publication type,Conflict Of Interests,Score
33875230,10.1016/j.biopsych.2021.01.011,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker.,2021 Oct 15,Biological psychiatry,"Qi S, Schumann G, Bustillo J, Turner JA, Jiang R, Zhi D, Fu Z, Mayer AR, Vergara VM, Silva RF, Iraji A, Chen J, Damaraju E, Ma X, Yang X, Stevens M, Mathalon DH, Ford JM, Voyvodic J, Mueller BA, Belger A, Potkin SG, Preda A, Zhuo C, Xu Y, Chu C, Banaschewski T, Barker GJ, Bokde ALW, Quinlan EB, Desrivieres S, Flor H, Grigis A, Garavan H, Gowland P, Heinz A, Martinot JL, Paillere Martinot ML, Artiges E, Nees F, Orfanos DP, Paus T, Poustka L, Hohmann S, Frohner JH, Smolka MN, Walter H, Whelan R, Calhoun VD, Sui J","Adolescent, Adult, *Attention Deficit Disorder with Hyperactivity/diagnostic imaging, Biomarkers, *Depressive Disorder, Major/diagnostic imaging/epidemiology, Humans, Magnetic Resonance Imaging, Reward, Young Adult, *ADHD, *Attention-deficit/hyperactivity disorder, *MDD, *Major depressive disorders, *Novelty seeking, *Reward processing, *Schizophrenia, *Substance use","BACKGROUND: Dysfunctional reward processing is implicated in multiple mental disorders. Novelty seeking (NS) assesses preference for seeking novel experiences, which is linked to sensitivity to reward environmental cues. METHODS: A subset of 14-year-old adolescents (IMAGEN) with the top 20% ranked high-NS scores was used to identify high-NS-associated multimodal components by supervised fusion. These features were then used to longitudinally predict five different risk scales for the same and unseen subjects (an independent dataset of subjects at 19 years of age that was not used in predictive modeling training at 14 years of age) (within IMAGEN, n approximately 1100) and even for the corresponding symptom scores of five types of patient cohorts (non-IMAGEN), including drinking (n = 313), smoking (n = 104), attention-deficit/hyperactivity disorder (n = 320), major depressive disorder (n = 81), and schizophrenia (n = 147), as well as to classify different patient groups with diagnostic labels. RESULTS: Multimodal biomarkers, including the prefrontal cortex, striatum, amygdala, and hippocampus, associated with high NS in 14-year-old adolescents were identified. The prediction models built on these features are able to longitudinally predict five different risk scales, including alcohol drinking, smoking, hyperactivity, depression, and psychosis for the same and unseen 19-year-old adolescents and even predict the corresponding symptom scores of five types of patient cohorts. Furthermore, the identified reward-related multimodal features can classify among attention-deficit/hyperactivity disorder, major depressive disorder, and schizophrenia with an accuracy of 87.2%. CONCLUSIONS: Adolescents with higher NS scores can be used to reveal brain alterations in the reward-related system, implicating potential higher risk for subsequent development of multiple disorders. The identified high-NS-associated multimodal reward-related signatures may serve as a transdiagnostic neuroimaging biomarker to predict disease risks or severity.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",,0.6
33837094,10.1136/bmjopen-2020-041695,Early Moves: a protocol for a population-based prospective cohort study to establish general movements as an early biomarker of cognitive impairment in infants.,2021 Apr 9,BMJ open,"Elliott C, Alexander C, Salt A, Spittle AJ, Boyd RN, Badawi N, Morgan C, Silva D, Geelhoed E, Ware RS, Ali A, McKenzie A, Bloom D, Sharp M, Ward R, Bora S, Prescott S, Woolfenden S, Le V, Davidson SA, Thornton A, Finlay-Jones A, Jensen L, Amery N, Valentine J","Biomarkers, Child, Child, Preschool, *Cognitive Dysfunction/diagnosis, Cohort Studies, Humans, Infant, Infant, Newborn, Prospective Studies, *Quality of Life, *community child health, *developmental neurology & neurodisability, *paediatrics","INTRODUCTION: The current diagnostic pathways for cognitive impairment rarely identify babies at risk before 2 years of age. Very early detection and timely targeted intervention has potential to improve outcomes for these children and support them to reach their full life potential. Early Moves aims to identify early biomarkers, including general movements (GMs), for babies at risk of cognitive impairment, allowing early intervention within critical developmental windows to enable these children to have the best possible start to life. METHOD AND ANALYSIS: Early Moves is a double-masked prospective cohort study that will recruit 3000 term and preterm babies from a secondary care setting. Early Moves will determine the diagnostic value of abnormal GMs (at writhing and fidgety age) for mild, moderate and severe cognitive delay at 2 years measured by the Bayley-4. Parents will use the Baby Moves smartphone application to video their babies' GMs. Trained GMs assessors will be masked to any risk factors and assessors of the primary outcome will be masked to the GMs result. Automated scoring of GMs will be developed through applying machine-based learning to the data and the predictive value for an abnormal GM will be investigated. Screening algorithms for identification of children at risk of cognitive impairment, using the GM assessment (GMA), and routinely collected social and environmental profile data will be developed to allow more accurate prediction of cognitive outcome at 2 years. A cost evaluation for GMA implementation in preparation for national implementation will be undertaken including exploring the relationship between cognitive status and healthcare utilisation, medical costs, health-related quality of life and caregiver burden. ETHICS AND DISSEMINATION: Ethics approval has been granted by the Medical Research Ethics Committee of Joondalup Health Services and the Health Service Human Research Ethics Committee (1902) of Curtin University (HRE2019-0739). TRIAL REGISTRATION NUMBER: ACTRN12619001422112.","Journal Article, Research Support, Non-U.S. Gov't",Competing interests: None declared.,0.0
33831677,10.1016/j.jpsychires.2021.03.054,Risk of conduct and oppositional defiant disorder symptoms in offspring of parents with mental health problems: Findings from the Raine Study.,2021 Jun,Journal of psychiatric research,"Ayano G, Lin A, Betts K, Tait R, Dachew BA, Alati R","Adolescent, Anxiety/epidemiology, Attention Deficit and Disruptive Behavior Disorders/epidemiology, Child, Cohort Studies, *Conduct Disorder, Female, Humans, Male, *Mental Health, Mothers, *Anxiety, *Conduct disorder, *Depression, *Emotional problems, *Offspring, *Oppositional defiant disorder, *Parent, *Raine study","BACKGROUND: Epidemiological data indicate that paternal and maternal mental health difficulties are predictors of conduct disorder (CD) and oppositional defiant disorder (ODD) in offspring. We tested the association between maternal anxiety and depressive symptoms and paternal emotional problems with CD and ODD symptoms in adolescent offspring aged 17. METHODS: Data was from the Raine Study, a birth cohort study based in Western Australia. Offspring CD and ODD symptoms at age 17 years were measured using the DSM-oriented scales of the Child Behavior Checklist (CBCL). Depression, Anxiety, and Stress Scale (DASS) was used to assess maternal depressive and anxiety symptoms, and a self-reported questionnaire measured paternal emotional problems when the offspring was 10 years. Negative binomial regression model was used to explore associations. RESULTS: Adjusting for potential confounding factors, we found an increased risk of CD symptoms in the offspring of mothers with anxiety [RR = 1.76 (95%CI; 1.08-2.86)], depressive [RR = 1.40 (95%CI; 1.01-1.95)], and comorbid anxiety and depressive symptoms [RR = 2.24 (95%CI 1.35-3.72)]. We also found an increased risk of ODD symptoms in offspring of mothers with depressive [RR = 1.24 (95%CI 1.02-1.52)], but not anxiety symptoms [RR = 1.23 (95%CI 0.92-1.67)]. No associations were seen with paternal emotional problems. CONCLUSION: Our study showed that adolescents whose mothers reported anxiety, depressive, and comorbid anxiety and depressive symptoms had a higher risk of CD and ODD symptoms at age 17. The findings have implications for preventive strategies.","Journal Article, Research Support, Non-U.S. Gov't",,0.13
33777992,10.3389/fnut.2021.638259,"Health Behavior, Health-Related Quality of Life, and Mental Health Among Canadian Children: A Population-Based Cohort Study.",2021,Frontiers in nutrition,"Wu X, Veugelers PJ, Ohinmaa A","attention-deficit and hyperactivity disorder, children, diet quality, health behavior, health-related quality of life, internalizing disorder, physical activity, sedentary behavior","Objective: Studies that have reported the associations of diet quality, physical activity (PA), sedentary behavior (SB), and health-related quality of life (HRQoL) with mental health among children and adolescents are predominantly cross-sectional in design. Very few studies have examined the longitudinal relationship of mental health with health behavior and HRQoL among children. This study aimed to investigate the associations of diet quality, PA, SB, and HRQoL among children with mental health disorders throughout childhood. Methods: We linked data from grade five students aged primarily 10 and 11 years who participated in the Raising Healthy Eating and Active Living (REAL) Kids Alberta survey in 2012 in the Canadian province of Alberta with their administrative health care data from birth to 2012. Mental health outcomes included internalizing disorder and attention deficit and hyperactivity disorder (ADHD) defined by the International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) or Tenth Revision, Canadian version (ICD-10-CA). The HRQoL was measured by the EQ-5D-Y, a five-dimensional descriptive system for children and youth. We applied negative binomial regressions to examine the associations between health behaviors, HRQoL, and mental health. Results: Of the 1,352 participating students, 12.31 and 8.32% had a diagnosis of internalizing disorders and ADHDs, respectively, during childhood from birth to the ages of 10-11 years. Students in the highest tertile for diet quality, relative to the lowest tertile, were 56% less likely to have diagnoses of internalizing disorders (incidence rate ratio, IRR = 0.44, 95% CI = 0.23-0.85). Students engaged in less PA (vs. more PA) were more likely to be diagnosed for internalizing disorders (IRR = 1.98, 95% CI = 1.19-3.30). Poorer diet quality, low PA, excessive use of computers/video games, and watching TV were significantly associated with more diagnoses of ADHDs. Children who experienced some or a lot of problems in ""feeling worried, sad, or unhappy"" and ""having pain or discomfort"" were more likely to receive diagnoses of internalizing disorders and ADHDs, respectively. Conclusions: These observed associations suggest that health promotion programs targeting promoting diet quality, PA, and HRQoL and reducing SB among children may contribute to improving mental health.",Journal Article,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,0.32
33772823,10.1111/cch.12868,The role of cognitive control and emotion regulation in predicting mental health problems in children with neurodevelopmental disorders.,2021 Sep,"Child: care, health and development","Tajik-Parvinchi D, Farmus L, Tablon Modica P, Cribbie RA, Weiss JA","Adolescent, *Attention Deficit Disorder with Hyperactivity, Child, Cognition, *Emotional Regulation, Emotions, Humans, Mental Health, *cognition, *emotion regulation, *neurodevelopmental disorder, *youth","BACKGROUND: Many youth with neurodevelopmental disorders (NDDs) experience mental health problems such as anxiety, depression or anger, and these are often associated with impairments of cognition and emotion regulation. The mechanisms that may be linking cognitive difficulties, emotion regulation and mental health are not known. AIMS: The current study examined whether adaptive and maladaptive (dysregulated) emotion regulation mediated the link between different cognitive control processes (working memory, inhibition and shifting) and internalizing/externalizing symptoms in children with NDDs. METHODS: Participants included 48 children (8-13 years of age) with one or more diagnoses of autism, attention deficit hyperactivity disorder, cerebral palsy and learning disability, who were enrolled in a larger study of cognitive behaviour therapy targeting emotion regulation. Multiple mediation analyses were implemented using the PROCESS macro. The mediation effects of adaptive and maladaptive emotion regulation were examined on the relationships between (1) working memory and internalizing/externalizing symptoms, (2) inhibition and internalizing/externalizing symptoms and (3) shifting and internalizing/externalizing symptoms. All data were collected prior to intervention, at baseline. RESULTS: Shifting, inhibitory control and working memory predicted increased emotion dysregulation, which functioned as a full mediator to both internalizing and externalizing problems in children with NDDs. CONCLUSIONS: In the presence of emotionally triggering situations, children with greater cognitive challenges experience greater maladaptive emotion regulation, which results in both internalizing and externalizing problems. For youth with NDDs, therapeutic plans that include strengthening of working memory, inhibition and shifting abilities in addition to emotion regulation skills training may be helpful in alleviating externalizing and internalizing behaviour.","Journal Article, Research Support, Non-U.S. Gov't",,0.26
33753722,10.1038/s41398-021-01213-0,1q21.1 distal copy number variants are associated with cerebral and cognitive alterations in humans.,2021 Mar 22,Translational psychiatry,"Sonderby IE, van der Meer D, Moreau C, Kaufmann T, Walters GB, Ellegaard M, Abdellaoui A, Ames D, Amunts K, Andersson M, Armstrong NJ, Bernard M, Blackburn NB, Blangero J, Boomsma DI, Brodaty H, Brouwer RM, Bulow R, Boen R, Cahn W, Calhoun VD, Caspers S, Ching CRK, Cichon S, Ciufolini S, Crespo-Facorro B, Curran JE, Dale AM, Dalvie S, Dazzan P, de Geus EJC, de Zubicaray GI, de Zwarte SMC, Desrivieres S, Doherty JL, Donohoe G, Draganski B, Ehrlich S, Eising E, Espeseth T, Fejgin K, Fisher SE, Fladby T, Frei O, Frouin V, Fukunaga M, Gareau T, Ge T, Glahn DC, Grabe HJ, Groenewold NA, Gustafsson O, Haavik J, Haberg AK, Hall J, Hashimoto R, Hehir-Kwa JY, Hibar DP, Hillegers MHJ, Hoffmann P, Holleran L, Holmes AJ, Homuth G, Hottenga JJ, Hulshoff Pol HE, Ikeda M, Jahanshad N, Jockwitz C, Johansson S, Jonsson EG, Jorgensen NR, Kikuchi M, Knowles EEM, Kumar K, Le Hellard S, Leu C, Linden DEJ, Liu J, Lundervold A, Lundervold AJ, Maillard AM, Martin NG, Martin-Brevet S, Mather KA, Mathias SR, McMahon KL, McRae AF, Medland SE, Meyer-Lindenberg A, Moberget T, Modenato C, Sanchez JM, Morris DW, Muhleisen TW, Murray RM, Nielsen J, Nordvik JE, Nyberg L, Loohuis LMO, Ophoff RA, Owen MJ, Paus T, Pausova Z, Peralta JM, Pike GB, Prieto C, Quinlan EB, Reinbold CS, Marques TR, Rucker JJH, Sachdev PS, Sando SB, Schofield PR, Schork AJ, Schumann G, Shin J, Shumskaya E, Silva AI, Sisodiya SM, Steen VM, Stein DJ, Strike LT, Suzuki IK, Tamnes CK, Teumer A, Thalamuthu A, Tordesillas-Gutierrez D, Uhlmann A, Ulfarsson MO, van 't Ent D, van den Bree MBM, Vanderhaeghen P, Vassos E, Wen W, Wittfeld K, Wright MJ, Agartz I, Djurovic S, Westlye LT, Stefansson H, Stefansson K, Jacquemont S, Thompson PM, Andreassen OA","Brain/diagnostic imaging, Chromosome Deletion, Cognition, *DNA Copy Number Variations, Female, Humans, Male, *Schizophrenia/genetics","Low-frequency 1q21.1 distal deletion and duplication copy number variant (CNV) carriers are predisposed to multiple neurodevelopmental disorders, including schizophrenia, autism and intellectual disability. Human carriers display a high prevalence of micro- and macrocephaly in deletion and duplication carriers, respectively. The underlying brain structural diversity remains largely unknown. We systematically called CNVs in 38 cohorts from the large-scale ENIGMA-CNV collaboration and the UK Biobank and identified 28 1q21.1 distal deletion and 22 duplication carriers and 37,088 non-carriers (48% male) derived from 15 distinct magnetic resonance imaging scanner sites. With standardized methods, we compared subcortical and cortical brain measures (all) and cognitive performance (UK Biobank only) between carrier groups also testing for mediation of brain structure on cognition. We identified positive dosage effects of copy number on intracranial volume (ICV) and total cortical surface area, with the largest effects in frontal and cingulate cortices, and negative dosage effects on caudate and hippocampal volumes. The carriers displayed distinct cognitive deficit profiles in cognitive tasks from the UK Biobank with intermediate decreases in duplication carriers and somewhat larger in deletion carriers-the latter potentially mediated by ICV or cortical surface area. These results shed light on pathobiological mechanisms of neurodevelopmental disorders, by demonstrating gene dose effect on specific brain structures and effect on cognitive function.","Journal Article, Research Support, Non-U.S. Gov't",,0.02
33693614,10.1093/cercor/bhab015,Examining the Boundary Sharpness Coefficient as an Index of Cortical Microstructure in Autism Spectrum Disorder.,2021 Jun 10,"Cerebral cortex (New York, N.Y. : 1991)","Olafson E, Bedford SA, Devenyi GA, Patel R, Tullo S, Park MTM, Parent O, Anagnostou E, Baron-Cohen S, Bullmore ET, Chura LR, Craig MC, Ecker C, Floris DL, Holt RJ, Lenroot R, Lerch JP, Lombardo MV, Murphy DGM, Raznahan A, Ruigrok ANV, Spencer MD, Suckling J, Taylor MJ, Lai MC, Chakravarty MM","Adolescent, Adult, Aged, Autism Spectrum Disorder/*diagnostic imaging, Brain Mapping/*methods, Cerebral Cortex/*diagnostic imaging, Child, Child, Preschool, Databases, Factual, Female, Gray Matter/*diagnostic imaging, Humans, Magnetic Resonance Imaging/*methods, Male, Middle Aged, White Matter/*diagnostic imaging, Young Adult, *autism spectrum disorder, *cerebral cortex, *microstructure, *myelin, *tissue contrast","Autism spectrum disorder (ASD) is associated with atypical brain development. However, the phenotype of regionally specific increased cortical thickness observed in ASD may be driven by several independent biological processes that influence the gray/white matter boundary, such as synaptic pruning, myelination, or atypical migration. Here, we propose to use the boundary sharpness coefficient (BSC), a proxy for alterations in microstructure at the cortical gray/white matter boundary, to investigate brain differences in individuals with ASD, including factors that may influence ASD-related heterogeneity (age, sex, and intelligence quotient). Using a vertex-based meta-analysis and a large multicenter structural magnetic resonance imaging (MRI) dataset, with a total of 1136 individuals, 415 with ASD (112 female; 303 male), and 721 controls (283 female; 438 male), we observed that individuals with ASD had significantly greater BSC in the bilateral superior temporal gyrus and left inferior frontal gyrus indicating an abrupt transition (high contrast) between white matter and cortical intensities. Individuals with ASD under 18 had significantly greater BSC in the bilateral superior temporal gyrus and right postcentral gyrus; individuals with ASD over 18 had significantly increased BSC in the bilateral precuneus and superior temporal gyrus. Increases were observed in different brain regions in males and females, with larger effect sizes in females. BSC correlated with ADOS-2 Calibrated Severity Score in individuals with ASD in the right medial temporal pole. Importantly, there was a significant spatial overlap between maps of the effect of diagnosis on BSC when compared with cortical thickness. These results invite studies to use BSC as a possible new measure of cortical development in ASD and to further examine the microstructural underpinnings of BSC-related differences and their impact on measures of cortical morphology.","Journal Article, Research Support, N.I.H., Intramural, Research Support, Non-U.S. Gov't",,0.0
33615640,10.1002/hbm.25354,Effects of copy number variations on brain structure and risk for psychiatric illness: Large-scale studies from the ENIGMA working groups on CNVs.,2022 Jan,Human brain mapping,"Sonderby IE, Ching CRK, Thomopoulos SI, van der Meer D, Sun D, Villalon-Reina JE, Agartz I, Amunts K, Arango C, Armstrong NJ, Ayesa-Arriola R, Bakker G, Bassett AS, Boomsma DI, Bulow R, Butcher NJ, Calhoun VD, Caspers S, Chow EWC, Cichon S, Ciufolini S, Craig MC, Crespo-Facorro B, Cunningham AC, Dale AM, Dazzan P, de Zubicaray GI, Djurovic S, Doherty JL, Donohoe G, Draganski B, Durdle CA, Ehrlich S, Emanuel BS, Espeseth T, Fisher SE, Ge T, Glahn DC, Grabe HJ, Gur RE, Gutman BA, Haavik J, Haberg AK, Hansen LA, Hashimoto R, Hibar DP, Holmes AJ, Hottenga JJ, Hulshoff Pol HE, Jalbrzikowski M, Knowles EEM, Kushan L, Linden DEJ, Liu J, Lundervold AJ, Martin-Brevet S, Martinez K, Mather KA, Mathias SR, McDonald-McGinn DM, McRae AF, Medland SE, Moberget T, Modenato C, Monereo Sanchez J, Moreau CA, Muhleisen TW, Paus T, Pausova Z, Prieto C, Ragothaman A, Reinbold CS, Reis Marques T, Repetto GM, Reymond A, Roalf DR, Rodriguez-Herreros B, Rucker JJ, Sachdev PS, Schmitt JE, Schofield PR, Silva AI, Stefansson H, Stein DJ, Tamnes CK, Tordesillas-Gutierrez D, Ulfarsson MO, Vajdi A, van 't Ent D, van den Bree MBM, Vassos E, Vazquez-Bourgon J, Vila-Rodriguez F, Walters GB, Wen W, Westlye LT, Wittfeld K, Zackai EH, Stefansson K, Jacquemont S, Thompson PM, Bearden CE, Andreassen OA","*Brain/diagnostic imaging/growth & development/pathology, *DNA Copy Number Variations, Humans, *Magnetic Resonance Imaging, *Mental Disorders/diagnostic imaging/genetics/pathology, Multicenter Studies as Topic, *Neurodevelopmental Disorders/diagnostic imaging/genetics/pathology, *Neuroimaging, brain structural imaging, copy number variant, diffusion tensor imaging, evolution, genetics-first approach, neurodevelopmental disorders, psychiatric disorders","The Enhancing NeuroImaging Genetics through Meta-Analysis copy number variant (ENIGMA-CNV) and 22q11.2 Deletion Syndrome Working Groups (22q-ENIGMA WGs) were created to gain insight into the involvement of genetic factors in human brain development and related cognitive, psychiatric and behavioral manifestations. To that end, the ENIGMA-CNV WG has collated CNV and magnetic resonance imaging (MRI) data from ~49,000 individuals across 38 global research sites, yielding one of the largest studies to date on the effects of CNVs on brain structures in the general population. The 22q-ENIGMA WG includes 12 international research centers that assessed over 533 individuals with a confirmed 22q11.2 deletion syndrome, 40 with 22q11.2 duplications, and 333 typically developing controls, creating the largest-ever 22q11.2 CNV neuroimaging data set. In this review, we outline the ENIGMA infrastructure and procedures for multi-site analysis of CNVs and MRI data. So far, ENIGMA has identified effects of the 22q11.2, 16p11.2 distal, 15q11.2, and 1q21.1 distal CNVs on subcortical and cortical brain structures. Each CNV is associated with differences in cognitive, neurodevelopmental and neuropsychiatric traits, with characteristic patterns of brain structural abnormalities. Evidence of gene-dosage effects on distinct brain regions also emerged, providing further insight into genotype-phenotype relationships. Taken together, these results offer a more comprehensive picture of molecular mechanisms involved in typical and atypical brain development. This ""genotype-first"" approach also contributes to our understanding of the etiopathogenesis of brain disorders. Finally, we outline future directions to better understand effects of CNVs on brain structure and behavior.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review",,0.0
33571915,10.1016/j.autneu.2021.102775,Autonomic dysregulation as an early pathologic feature of Huntington Disease.,2021 Mar,Autonomic neuroscience : basic & clinical,"Schultz JL, Harshman LA, Kamholz JA, Nopoulos PC","Adolescent, Adult, Blood Pressure, Child, Humans, *Huntington Disease/genetics, *Autonomic nervous system, *Blood pressure, *Heart rate, *Huntington Disease, *Temperature","OBJECTIVE: Autonomic nervous system (ANS) dysfunction has been described in adults with motor-manifest Huntington's Disease (HD) or those who are near their predicted motor onset. It is unclear if ANS dysfunction is present years prior to the onset of motor symptoms of HD. To bridge this gap in knowledge, we compared crude markers of ANS function between children with the gene-expansion that causes HD (GE group) who were decades from their predicted motor onset and gene-non-expanded children (GNE group). METHODS: We included participants from the Kids-HD study who were <18 years old. Linear mixed effects regression models were constructed that controlled for sex, age, and BMI, and included a random effect per participant and per family. We compared resting heart rate (rHR), core body temperature (CBT), systolic blood pressure (SBP), and diastolic blood pressure (DBP) between the GE (n = 84) and GNE (n = 238) groups. We then grouped participants from the GE group based on their predicted years to onset (YTO) and compared their vital signs to the GNE group. RESULTS: The GE group had higher rHR ( = 3.83, p = 0.0064), SBP ( = 2.38, p = 0.032), and CBT ( = 0.16, t = 2.92, p = 0.007). The mean rHR and CBT became significantly elevated compared to the GNE group in participants who had 15-25 YTO and those who had <15 YTO. The mean SBP of participants who had 25-35 YTO was significantly elevated compared to the GNE group. CONCLUSION: ANS dysfunction in HD seems to occur approximately 20 years prior to the predicted onset of motor symptoms of HD.","Journal Article, Research Support, N.I.H., Extramural",,0.02
33562519,10.3390/brainsci11020195,Impacts of Participation in Community-Based Physical Activity Programs on Cognitive Functions of Children and Youth with Neurodevelopmental Disabilities: A Scoping Review.,2021 Feb 5,Brain sciences,"Gitimoghaddam M, Vanderloo LM, Hung R, Ryce A, McKellin W, Miller A, Collet JP","children and youth, cognition, neurodevelopmental disorders, physical activity","This review paper aimed to undertake an extensive exploration of the extent, range, and nature of research activities regarding the effect and emerging evidence in the field of physical activity interventions on cognitive development among children and youth (0-17.99 years) with neurodevelopmental disorders (NDD), and to help identify key gaps in research and determine precise research questions for future investigations. To carry out this scoping review, five electronic databases were searched. A total of 12,097 articles were retrieved via search efforts with an additional 93 articles identified from the identified review papers. Sixty articles were eligible for inclusion. The results of this scoping review revealed many positive key cognitive outcomes related to physical activity including, but not limited to: focus, attention, self-control, cognitive process, and alertness. No studies reported a negative association between physical activity and cognitive outcomes. Based on the findings from this scoping review, physical activity appears to have a favorable impact on the cognitive outcomes of children and youth with NDD.","Journal Article, Review",,0.02
33556083,10.1371/journal.pone.0245916,Guideline adherence in the management of attention deficit hyperactivity disorder in children: An audit of selected medical records in three Australian states.,2021,PloS one,"Ellis LA, Blakely B, Hazell P, Woolfenden S, Hiscock H, Sarkozy V, Gould B, Hibbert PD, Arnolda G, Ting HP, Wiles LK, Molloy CJ, Churruca K, Warwick M, Braithwaite J","Adolescent, Attention Deficit Disorder with Hyperactivity/*therapy, Australia, Child, Child, Preschool, Female, Guideline Adherence/*statistics & numerical data, Humans, Male, *Medical Audit, Medical Records/*statistics & numerical data","OBJECTIVE: To assess General Practitioner (GP) and pediatrician adherence to clinical practice guidelines (CPGs) for diagnosis, treatment and management of attention deficit hyperactivity disorder (ADHD). METHOD: Medical records for 306 children aged </=15 years from 46 GP clinics and 20 pediatric practices in Australia were reviewed against 34 indicators derived from CPG recommendations. At indicator level, adherence was estimated as the percentage of indicators with 'Yes' or 'No' responses for adherence, which were scored 'Yes'. This was done separately for GPs, pediatricians and overall; and weighted to adjust for sampling processes. RESULTS: Adherence with guidelines was high at 83.6% (95% CI: 77.7-88.5) with pediatricians (90.1%; 95% CI: 73.0-98.1) higher than GPs (68.3%; 95% CI: 46.0-85.8; p = 0.02). Appropriate assessment for children presenting with signs or symptoms of ADHD was undertaken with 95.2% adherence (95% CI: 76.6-99.9), however ongoing reviews for children with ADHD prescribed stimulant medication was markedly lower for both pediatricians (51.1%; 95% CI: 9.6-91.4) and GPs (18.7%; 95% CI: 4.1-45.5). CONCLUSION: Adherence to CPGs for ADHD by pediatricians was generally high. Adherence by GPs was lower across most domains; timely recognition of medication side effects is a particular area for improvement.","Journal Article, Research Support, Non-U.S. Gov't","Dr Bronwyn Gould's general practice in Paddington provided no funding to the study. The authors have declared that no competing interests exist, and that this does not alter our adherence to PLOS ONE policies on sharing data and materials.",0.53
33493775,10.1016/j.schres.2021.01.002,Are psychotic-like experiences related to a discontinuation of cannabis consumption in young adults?,2021 Feb,Schizophrenia research,"Daedelow LS, Banaschewski T, Berning M, Bokde ALW, Bruhl R, Burke Quinlan E, Curran HV, Desrivieres S, Flor H, Grigis A, Garavan H, Hardon A, Kaminski J, Martinot JL, Paillere Martinot ML, Artiges E, Murray H, Nees F, Oei NYL, Papadopoulos Orfanos D, Paus T, Poustka L, Hohmann S, Millenet S, Rosenthal A, Frohner JH, Smolka MN, Walter H, Whelan R, Wiers RW, Schumann G, Heinz A","Adolescent, Adult, *Cannabis, Humans, Longitudinal Studies, *Marijuana Abuse/epidemiology, *Psychotic Disorders/epidemiology, Young Adult, *Age of first use, *Cannabis discontinuation hypothesis, *Cannabis use, *Perceived stress, *Psychotic-like experiences","OBJECTIVE: To assess changes in cannabis use in young adults as a function of psychotic-like experiences. METHOD: Participants were initially recruited at age 14 in high schools for the longitudinal IMAGEN study. All measures presented here were assessed at follow-ups at age 19 and at age 22, respectively. Perceived stress was only assessed once at age 22. Ever users of cannabis (N = 552) gave qualitative and quantitative information on cannabis use and psychotic-like experiences using the Community Assessment of Psychic Experiences (CAPE). Of those, nearly all n = 549 reported to have experienced at least one psychotic experience of any form at age 19. RESULTS: Mean cannabis use increased from age 19 to 22 and age of first use of cannabis was positively associated with a change in cannabis use between the two time points. Change in cannabis use was not significantly associated with psychotic-like experiences at age 19 or 22. In exploratory analysis, we observed a positive association between perceived stress and the experience of psychotic experiences at age 22. CONCLUSION: Age of first use of cannabis influenced trajectories of young cannabis users with later onset leading to higher increase, whereas the frequency of psychotic-like experiences was not associated with a change in cannabis use. The observed association between perceived stress and psychotic-like experiences at age 22 emphasizes the importance of stress experiences in developing psychosis independent of cannabis use.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","Declaration of competing interest Dr. Banaschewski served in an advisory or consultancy role for Lundbeck, Medice, Neurim Pharmaceuticals, Oberberg GmbH, Shire. He received conference support or speaker's fee by Lilly, Medice, Novartis and Shire. He has been involved in clinical trials conducted by Shire & Viforpharma. He received royalties from Hogrefe, Kohlhammer, CIP Medien, Oxford University Press. The present work is unrelated to the above grants and relationships. The other authors report no biomedical financial interests or potential conflicts of interest.",0.0
